"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2019","7,479.11","7,476.47","7,500.74","7,454.87","152.29M","-0.42%"
"06/13/2019","7,510.68","7,500.85","7,530.90","7,487.09","140.05M","0.51%"
"06/12/2019","7,472.29","7,493.55","7,507.52","7,459.20","141.90M","-0.55%"
"06/11/2019","7,513.85","7,584.75","7,595.57","7,489.99","162.20M","0.16%"
"06/10/2019","7,501.93","7,472.60","7,573.00","7,468.16","176.90M","1.14%"
"06/07/2019","7,417.29","7,315.33","7,445.99","7,309.01","176.53M","1.94%"
"06/06/2019","7,275.93","7,229.86","7,293.22","7,201.59","172.72M","0.76%"
"06/05/2019","7,220.90","7,230.81","7,235.23","7,146.43","181.76M","0.76%"
"06/04/2019","7,166.75","7,056.18","7,169.79","7,023.10","217.17M","2.70%"
"06/03/2019","6,978.02","7,110.34","7,126.43","6,936.68","245.98M","-2.10%"
"05/31/2019","7,127.96","7,148.71","7,183.23","7,125.97","183.95M","-1.62%"
"05/30/2019","7,245.40","7,234.83","7,262.77","7,204.42","135.81M","0.40%"
"05/29/2019","7,216.86","7,222.55","7,254.20","7,176.67","195.44M","-0.85%"
"05/28/2019","7,278.38","7,321.27","7,362.29","7,274.70","293.46M","-0.31%"
"05/24/2019","7,300.96","7,353.97","7,371.30","7,294.10","143.59M","-0.10%"
"05/23/2019","7,307.93","7,331.67","7,337.47","7,261.46","218.84M","-1.52%"
"05/22/2019","7,420.66","7,413.84","7,458.11","7,410.72","153.96M","-0.41%"
"05/21/2019","7,451.02","7,442.31","7,472.71","7,417.07","164.74M","1.01%"
"05/20/2019","7,376.70","7,391.73","7,424.59","7,351.92","211.42M","-1.69%"
"05/17/2019","7,503.68","7,513.15","7,605.67","7,496.92","212.22M","-1.01%"
"05/16/2019","7,580.14","7,509.90","7,627.03","7,502.76","189.21M","1.02%"
"05/15/2019","7,503.25","7,354.82","7,524.22","7,353.90","172.93M","1.37%"
"05/14/2019","7,401.88","7,366.64","7,449.02","7,337.94","185.93M","1.06%"
"05/13/2019","7,324.13","7,385.55","7,433.92","7,303.64","253.31M","-3.46%"
"05/10/2019","7,586.53","7,556.04","7,623.01","7,426.75","198.03M","0.05%"
"05/09/2019","7,582.75","7,525.81","7,605.03","7,472.71","200.57M","-0.46%"
